#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::All verbs::futuro: yo, tú, él
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint,tags
"abrir, yo, futuro",abrir,otwierać,to open,yo,futuro_simple,abriré,,false,,
"abrir, tú, futuro",abrir,otwierać,to open,tu,futuro_simple,abrirás,,false,,
"abrir, él, futuro",abrir,otwierać,to open,el,futuro_simple,abrirá,,false,,
"acabar, yo, futuro",acabar,kończyć,to finish,yo,futuro_simple,acabaré,,false,,
"acabar, tú, futuro",acabar,kończyć,to finish,tu,futuro_simple,acabarás,,false,,
"acabar, él, futuro",acabar,kończyć,to finish,el,futuro_simple,acabará,,false,,
"acercarse, yo, futuro",acercarse,podejść,to approach,yo,futuro_simple,me acercaré,,false,,
"acercarse, tú, futuro",acercarse,podejść,to approach,tu,futuro_simple,te acercarás,,false,,
"acercarse, él, futuro",acercarse,podejść,to approach,el,futuro_simple,se acercará,,false,,
"acostarse, yo, futuro",acostarse,położyć się,to go to bed,yo,futuro_simple,me acostaré,,false,,conjugation::basic-verb
"acostarse, tú, futuro",acostarse,położyć się,to go to bed,tu,futuro_simple,te acostarás,,false,,conjugation::basic-verb
"acostarse, él, futuro",acostarse,położyć się,to go to bed,el,futuro_simple,se acostará,,false,,conjugation::basic-verb
"adivinar, yo, futuro",adivinar,zgadywać,to guess,yo,futuro_simple,adivinaré,,false,,
"adivinar, tú, futuro",adivinar,zgadywać,to guess,tu,futuro_simple,adivinarás,,false,,
"adivinar, él, futuro",adivinar,zgadywać,to guess,el,futuro_simple,adivinará,,false,,
"alcanzar, yo, futuro",alcanzar,sięgać,to reach,yo,futuro_simple,alcanzaré,,false,,
"alcanzar, tú, futuro",alcanzar,sięgać,to reach,tu,futuro_simple,alcanzarás,,false,,
"alcanzar, él, futuro",alcanzar,sięgać,to reach,el,futuro_simple,alcanzará,,false,,
"alquilar, yo, futuro",alquilar,wynajmować,to rent,yo,futuro_simple,alquilaré,,false,,
"alquilar, tú, futuro",alquilar,wynajmować,to rent,tu,futuro_simple,alquilarás,,false,,
"alquilar, él, futuro",alquilar,wynajmować,to rent,el,futuro_simple,alquilará,,false,,
"andar, yo, futuro",andar,chodzić,to walk,yo,futuro_simple,andaré,,false,,conjugation::basic-verb
"andar, tú, futuro",andar,chodzić,to walk,tu,futuro_simple,andarás,,false,,conjugation::basic-verb
"andar, él, futuro",andar,chodzić,to walk,el,futuro_simple,andará,,false,,conjugation::basic-verb
"aparcar, yo, futuro",aparcar,parkować,to park,yo,futuro_simple,aparcaré,,false,,
"aparcar, tú, futuro",aparcar,parkować,to park,tu,futuro_simple,aparcarás,,false,,
"aparcar, él, futuro",aparcar,parkować,to park,el,futuro_simple,aparcará,,false,,
"aprobarse, yo, futuro",aprobarse,aprobować,to pass,yo,futuro_simple,me aprobaré,,false,,
"aprobarse, tú, futuro",aprobarse,aprobować,to pass,tu,futuro_simple,te aprobarás,,false,,
"aprobarse, él, futuro",aprobarse,aprobować,to pass,el,futuro_simple,se aprobará,,false,,
"beber, yo, futuro",beber,pić,to drink,yo,futuro_simple,beberé,,false,,
"beber, tú, futuro",beber,pić,to drink,tu,futuro_simple,beberás,,false,,
"beber, él, futuro",beber,pić,to drink,el,futuro_simple,beberá,,false,,
"buscar, yo, futuro",buscar,szukać,to look for,yo,futuro_simple,buscaré,,false,,conjugation::basic-verb
"buscar, tú, futuro",buscar,szukać,to look for,tu,futuro_simple,buscarás,,false,,conjugation::basic-verb
"buscar, él, futuro",buscar,szukać,to look for,el,futuro_simple,buscará,,false,,conjugation::basic-verb
"caerse, yo, futuro",caerse,upaść,to fall,yo,futuro_simple,me caeré,,false,,
"caerse, tú, futuro",caerse,upaść,to fall,tu,futuro_simple,te caerás,,false,,
"caerse, él, futuro",caerse,upaść,to fall,el,futuro_simple,se caerá,,false,,
"causar, yo, futuro",causar,powodować,to cause,yo,futuro_simple,causaré,,false,,
"causar, tú, futuro",causar,powodować,to cause,tu,futuro_simple,causarás,,false,,
"causar, él, futuro",causar,powodować,to cause,el,futuro_simple,causará,,false,,
"cenar, yo, futuro",cenar,jeść kolację,to have dinner,yo,futuro_simple,cenaré,,false,,
"cenar, tú, futuro",cenar,jeść kolację,to have dinner,tu,futuro_simple,cenarás,,false,,
"cenar, él, futuro",cenar,jeść kolację,to have dinner,el,futuro_simple,cenará,,false,,
